Data,Horário,Manobra,Berço,Bordo,Navio,Rota,Loa,Boca,Calado,Situação,Origem
24/02/2026,22:00 ETS,Saída,PNAVE 01,BB,COPIAPO,,29990,4820,"7,90/9,90",Atracado,Itajaí/NVT (ZP-21)
24/02/2026,23:30 ETS,Saída,JBS 2,BE,BARTOLOMEU DIAS,,25500,3730,"11,00 EK",Atracado,Itajaí/NVT (ZP-21)
25/02/2026,00:30 ETB,Entrada,PNAVE 01,BB,LOG-IN EXPERIENCE,Bacia 1,19998,3520,"9,80/9,90",Navegando para Itajaí,Itajaí/NVT (ZP-21)
25/02/2026,02:00 ETB,Entrada,JBS 2,BB,CMA CGM BYBLOS,,27225,4280,"12,15 EK",Navegando para Itajaí,Itajaí/NVT (ZP-21)
25/02/2026,TBC,Saída,JBS 2,BB,CMA CGM BYBLOS,,27225,4280,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
25/02/2026,TBC,Saída,PNAVE 01,BB,LOG-IN EXPERIENCE,,19998,3520,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
25/02/2026,TBC,Entrada,PNAVE 01,BB,CMA CGM BELEM,Bacia 2,33600,5100,"10,30/10,70",Fundeado,Itajaí/NVT (ZP-21)
25/02/2026,TBC,Saída,TEPORTI,BB,BBC MAINE,,13800,2100,TBC,Atracado,Itajaí/NVT (ZP-21)
26/02/2026,TBC,Entrada,JBS 2,BE,COSTA RICA EXPRESS,Bacia 1,27007,4280,"11,35/12,00",Navegando para Itajaí,Itajaí/NVT (ZP-21)
26/02/2026,TBC,Entrada,PORTO ITAJAI - 03,,DOVER HIGHWAY,,19997,3226,"9,20 EK",Navegando para Itajaí,Itajaí/NVT (ZP-21)
26/02/2026,TBC,Entrada,JBS,,SANTA LINEA,,33671,4564,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
26/02/2026,TBC,Saída,PORTO ITAJAI - 03,,DOVER HIGHWAY,,19997,3226,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Saída,JBS,,SANTA LINEA,,33671,4564,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Saída,PNAVE 01,BB,CMA CGM BELEM,,33600,5100,"10,30/10,70",Fundeado,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Entrada,JBS,,MSC FIRENZE,,33500,4560,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Entrada,PNAVE 01,,MSC LOS ANGELES,,27620,4010,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Saída,JBS 2,BE,COSTA RICA EXPRESS,,27007,4280,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Saída,PNAVE 01,,SANTA CATARINA EXPRESS,,33000,4820,TBC,Fundeado,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Entrada,PNAVE,,LOG-IN JATOBÁ,,21845,2980,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Saída,PNAVE 01,,MSC LOS ANGELES,,27620,4010,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Entrada,PNAVE 01,,SANTA CATARINA EXPRESS,,33000,4820,"12,65 EK",Fundeado,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Saída,PNAVE,,MSC FIRENZE,,33500,4560,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Entrada,JBS,,MSC ANTONELLA,,29985,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,TBC,Saída,PNAVE,,LOG-IN JATOBÁ,,21845,2980,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,TBC,Entrada,PNAVE,,CATHERINE C,,27200,4280,TBC,Fundeado,Itajaí/NVT (ZP-21)
28/02/2026,TBC,Entrada,PNAVE,,XIAMEN EXPRESS,,33600,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,TBC,Saída,PNAVE,,XIAMEN EXPRESS,,33600,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,08:00 ETB,Entrada,DELEMAR,,REBOCADOR TRITÃO,,5352,1161,"3,40 MAX",Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,TBC,Saída,JBS,,MSC ANTONELLA,,29985,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,TBC,Saída,PNAVE,,CATHERINE C,,27200,4280,TBC,Fundeado,Itajaí/NVT (ZP-21)
02/03/2026,TBC,Entrada,PNAVE,,CAPE ARTEMISIO,,33000,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
03/03/2026,TBC,Saída,PNAVE,,CAPE ARTEMISIO,,33000,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
03/03/2026,18:00 ETS,Saída,DELEMAR,,REBOCADOR TRITÃO,,5352,1161,"3,40 MAX",Navegando para Itajaí,Itajaí/NVT (ZP-21)
01/03/2026,10:15 ETS,Saída,BRASIL SUL,BB,FRAGATA TAMANDARE,,10720,1595,"4,00 EK",Atracado,Itajaí/NVT (ZP-21)
01/03/2026,15:00 ETB,Entrada,BRASIL SUL,,FRAGATA TAMANDARE,,10720,1595,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,TBC,Entrada,PNAVE 01,BB,LOG-IN JATOBÁ,Bacia 1,21845,2980,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,10:00 ETS,Saída,SEATRIUM,,BALSA MARTIN LEME XVII + C TORNADO,,8280,2136,"1,20/0,90",Atracado,Itajaí/NVT (ZP-21)
27/02/2026,12:00 ETS,Mudança de Berço,TEPORTI,BB,KHOI VENTURES,,16937,2719,"6,36/6,40",Atracado,Itajaí/NVT (ZP-21)
27/02/2026,13:30 ETS,Saída,BARRA DO RIO,BB,OCEAN MERMAID,,6980,1780,"4,70/5,80",Atracado,Itajaí/NVT (ZP-21)
27/02/2026,16:00 ETB,Entrada,JBS 2,BB,GREEN PARK,,18590,3520,"6,20/9,20",Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,18:00 ETS,Saída,PNAVE 01,BB,LOG-IN JATOBÁ,,21845,2980,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/02/2026,21:00 ETB,Entrada,PNAVE 01,BE,XIAMEN EXPRESS,,33600,4820,"12,50 EK",Fundeado,Itajaí/NVT (ZP-21)
28/02/2026,00:00 ETS,Saída,JBS 2,BB,GREEN PARK,Bacia 1,18590,3520,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,01:00 ETB,Entrada,JBS 2,BB,MSC ANTONELLA,,29985,4820,"9,00/10,90",Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,TBC,Entrada,PORTO DE ITAJAI,BE,COSTA DIADEMA,Bacia 2,30570,3720,"8,50 EK",Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,TBC,Saída,PNAVE 01,BE,XIAMEN EXPRESS,Bacia 2,33600,4820,TBC,Fundeado,Itajaí/NVT (ZP-21)
28/02/2026,TBC,Saída,PORTO DE ITAJAI,BE,COSTA DIADEMA,,30570,3720,"8,50 EK",Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,TBC,Saída,JBS 2,BB,MSC ANTONELLA,Bacia 2,29985,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
01/03/2026,TBC,Saída,JBS,,MSC FIRENZE,,33500,4560,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,06:30 ATS,Saída,PORTO ITAJAI - 04,BB,KHOI VENTURES,Bacia 1,16937,2719,"6,40/6,55",Atracado,Itajaí/NVT (ZP-21)
28/02/2026,08:00 ATB,Entrada,PORTO ITAJAI - 04,BE,COSTA DIADEMA,Bacia 2,30570,3720,"8,50 EK",Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,09:00 ETB,Entrada,TEPORTI,BB,KHOI VENTURES,,16937,2719,"6,32/6,36",Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,13:00 ETS,Saída,JBS 1,BB,GREEN PARK,Bacia 1,18590,3520,"8,29/9,53",Atracado,Itajaí/NVT (ZP-21)
28/02/2026,17:00 ETS,Saída,PORTO ITAJAI - 04,BE,COSTA DIADEMA,,30570,3720,"8,50 EK",Navegando para Itajaí,Itajaí/NVT (ZP-21)
28/02/2026,23:00 ETB,Entrada,JBS 2,BB,MSC FIRENZE,,33500,4560,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
01/03/2026,TBC,Entrada,PNAVE 01,,MERCOSUL SUAPE,,21054,2980,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
02/03/2026,TBC,Saída,PNAVE 01,,MERCOSUL SUAPE,,21054,2980,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
01/03/2026,09:00 ETS,Giro,PNAVE 01,BB,SANTA CATARINA EXPRESS,Bacia 2,33000,4820,"11,90 EK",Atracado,Itajaí/NVT (ZP-21)
02/03/2026,05:00 ETB,Entrada,JBS 2,BE,NC BRUMA,Bacia 1,22400,3480,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
02/03/2026,TBC,Entrada,PNAVE 01,BB,CAPE ARTEMISIO,Bacia 2,33000,4820,"11,60 EK",Drifting,Itajaí/NVT (ZP-21)
02/03/2026,TBC,Saída,JBS,,NC BRUMA,,22400,3480,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
03/03/2026,TBC,Entrada,PNAVE,,ZIM BALTIMORE,,25894,3220,"11,00/11,20",Navegando para Itajaí,Itajaí/NVT (ZP-21)
03/03/2026,TBC,Saída,PNAVE,,ZIM BALTIMORE,,25894,3220,"11,20 EK",Navegando para Itajaí,Itajaí/NVT (ZP-21)
02/03/2026,10:15 ETS,Saída,JBS 2,BB,MSC FIRENZE,Bacia 2,33500,4560,"7,95/10,30",Atracado,Itajaí/NVT (ZP-21)
03/03/2026,TBC,Saída,PNAVE 01,BB,CAPE ARTEMISIO,,33000,4820,TBC,Drifting,Itajaí/NVT (ZP-21)
03/03/2026,TBC,Entrada,PNAVE 01,BB,CATHERINE C,Bacia 2,27200,4280,"6,60/10,05",Fundeado,Itajaí/NVT (ZP-21)
03/03/2026,TBC,Saída,JBS 2,BB,NC BRUMA,Bacia 1,22400,3480,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
04/03/2026,TBC,Saída,PNAVE 01,BB,CATHERINE C,,27200,4280,TBC,Fundeado,Itajaí/NVT (ZP-21)
03/03/2026,11:00 ETB,Entrada,JBS 2,BE,NAVIOS DOMINO,Bacia 1,26000,3225,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
